epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,74.7414,1.36929,1.36055,2.38873,0.85364,0.56977,0.68425,0.49812,2.16943,2.5383,3.30029,0.0014588,0.0014588,0.0014588
43,99.2786,1.37575,1.35757,2.38652,0.83695,0.68605,0.78834,0.59731,1.78533,1.96814,2.84414,0.0014456,0.0014456,0.0014456
44,124.664,1.39028,1.38673,2.39023,0.68885,0.66279,0.69987,0.51637,1.97872,2.39363,3.1117,0.0014324,0.0014324,0.0014324
45,149.458,1.32273,1.32594,2.35196,0.7701,0.74009,0.76764,0.57515,1.83917,2.02648,2.89235,0.0014192,0.0014192,0.0014192
46,174.331,1.29009,1.29456,2.33196,0.88622,0.63404,0.76526,0.54808,1.83199,2.36668,2.94501,0.001406,0.001406,0.001406
47,198.889,1.28844,1.23417,2.30959,0.79869,0.59978,0.70756,0.56566,1.75532,2.2614,2.87021,0.0013928,0.0013928,0.0013928
48,223.537,1.30438,1.28769,2.33313,0.81962,0.63407,0.75166,0.57858,1.84774,2.05215,2.95379,0.0013796,0.0013796,0.0013796
49,248.117,1.35054,1.31714,2.36265,0.83522,0.68605,0.77528,0.57386,1.86865,2.08253,2.91316,0.0013664,0.0013664,0.0013664
50,272.86,1.30907,1.2822,2.3588,0.7358,0.63953,0.70729,0.53417,1.90882,2.2744,2.97681,0.0013532,0.0013532,0.0013532
51,297.421,1.34341,1.30432,2.37096,0.81328,0.68605,0.76371,0.59914,1.78204,2.05898,2.88758,0.00134,0.00134,0.00134
52,322.039,1.32253,1.30508,2.34457,0.8567,0.62568,0.75473,0.55886,1.91844,2.07515,3.02141,0.0013268,0.0013268,0.0013268
53,346.896,1.31106,1.24981,2.34415,0.85216,0.66279,0.76372,0.60008,1.85035,1.99371,2.86755,0.0013136,0.0013136,0.0013136
54,372.176,1.33563,1.30108,2.34939,0.88289,0.61366,0.7422,0.56123,1.8521,2.09518,2.99005,0.0013004,0.0013004,0.0013004
55,397.194,1.30841,1.21673,2.32314,0.78641,0.67442,0.7687,0.57937,1.86523,1.94975,2.99782,0.0012872,0.0012872,0.0012872
56,422.281,1.34127,1.24816,2.34223,0.8447,0.63953,0.76889,0.589,1.77083,2.04186,2.80884,0.001274,0.001274,0.001274
57,446.918,1.32282,1.26175,2.35432,0.78809,0.65116,0.75088,0.57134,2.01782,2.14047,3.11513,0.0012608,0.0012608,0.0012608
