epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1996.57,0.60584,0.59046,1.15666,0.7287,0.68605,0.68343,0.49202,0.97757,1.07294,1.58482,0.0011882,0.0011882,0.0011882
43,2044.54,0.60419,0.58969,1.16355,0.83231,0.63953,0.72227,0.51717,0.93163,1.09921,1.50962,0.0011684,0.0011684,0.0011684
44,2093.45,0.59786,0.58145,1.15587,0.80404,0.62791,0.67936,0.49233,1.01567,1.31545,1.60918,0.0011486,0.0011486,0.0011486
45,2140.92,0.59444,0.57044,1.15491,0.83493,0.61628,0.70139,0.5402,0.86822,1.02639,1.44526,0.0011288,0.0011288,0.0011288
46,2189.86,0.59013,0.56528,1.14484,0.86683,0.60551,0.7114,0.53606,0.96805,1.1988,1.59761,0.001109,0.001109,0.001109
47,2237.07,0.56822,0.54292,1.12915,0.67675,0.73256,0.67915,0.51769,0.9093,1.22146,1.51523,0.0010892,0.0010892,0.0010892
48,2284.19,0.5695,0.54995,1.13219,0.72082,0.74419,0.6798,0.50597,0.92396,1.0595,1.51697,0.0010694,0.0010694,0.0010694
49,2332.95,0.58646,0.55124,1.13886,0.79155,0.66234,0.73401,0.54485,0.97771,1.06683,1.60333,0.0010496,0.0010496,0.0010496
50,2380.43,0.55894,0.53661,1.12909,0.87482,0.61628,0.75104,0.59052,0.79849,1.08104,1.34946,0.0010298,0.0010298,0.0010298
51,2427.1,0.55639,0.51851,1.12812,0.88627,0.60465,0.70343,0.52191,0.89114,1.17464,1.4658,0.00101,0.00101,0.00101
52,2474.8,0.54706,0.51538,1.1149,0.69185,0.67442,0.67394,0.50496,0.87963,1.20129,1.45608,0.0009902,0.0009902,0.0009902
53,2522.06,0.54716,0.509,1.11973,0.79539,0.62791,0.67457,0.49171,0.94957,1.23434,1.56542,0.0009704,0.0009704,0.0009704
54,2570.4,0.53993,0.50275,1.11931,0.81593,0.67008,0.69646,0.52942,0.97369,1.15296,1.67451,0.0009506,0.0009506,0.0009506
55,2618.4,0.54117,0.4985,1.11437,0.76791,0.63953,0.70806,0.51646,1.00392,1.17885,1.63404,0.0009308,0.0009308,0.0009308
56,2666,0.53098,0.49625,1.11071,0.8242,0.60465,0.70951,0.52474,0.94728,1.07716,1.56132,0.000911,0.000911,0.000911
57,2715.15,0.52286,0.48198,1.09707,0.8374,0.59302,0.71066,0.53934,0.95885,1.228,1.56457,0.0008912,0.0008912,0.0008912
58,2763.1,0.5238,0.48013,1.09516,0.6983,0.73256,0.73491,0.549,0.92378,1.05205,1.53755,0.0008714,0.0008714,0.0008714
59,2810.08,0.51939,0.47713,1.09902,0.75042,0.62791,0.68687,0.50617,1.01917,1.14747,1.67914,0.0008516,0.0008516,0.0008516
60,2858.72,0.50287,0.46817,1.08614,0.8005,0.60658,0.71006,0.51891,1.00139,1.05536,1.64596,0.0008318,0.0008318,0.0008318
61,2905.76,0.51307,0.46348,1.09119,0.80828,0.65116,0.72878,0.54528,0.93486,1.03222,1.57044,0.000812,0.000812,0.000812
62,2954.64,0.50427,0.46616,1.09298,0.82226,0.64554,0.68742,0.53509,0.93453,1.1025,1.5217,0.0007922,0.0007922,0.0007922
63,3002.55,0.50368,0.4537,1.08973,0.84147,0.7093,0.74809,0.56092,0.93175,0.91505,1.59402,0.0007724,0.0007724,0.0007724
64,3049.73,0.49114,0.44826,1.07118,0.76286,0.73256,0.7003,0.54566,0.93409,1.07139,1.53863,0.0007526,0.0007526,0.0007526
65,3099.69,0.48756,0.45163,1.08026,0.83759,0.65967,0.70616,0.54579,0.86307,1.11895,1.49709,0.0007328,0.0007328,0.0007328
66,3148.2,0.49476,0.44512,1.07802,0.89244,0.57892,0.70497,0.55844,0.88966,1.21587,1.45126,0.000713,0.000713,0.000713
